Year;Borough;UHF;Gender;Age;Race;HIV diagnoses;HIV diagnosis rate;Concurrent diagnoses;% linked to care within 3 months;AIDS diagnoses;AIDS diagnosis rate;PLWDHI prevalence;% viral suppression;Deaths;Death rate;HIV-related death rate;Non-HIV-related death rate
2011;All;All;All;All;All;3379;02/01/1900 00.03;640;66;2366;33.08.00;01.01;71;2040;13.06;05.08;07.08
2011;All;All;Male;All;All;;79.01.00;480;66;1712;52.02.00;01.07;72;1423;13.04;05.07;07.07
2011;All;All;Female;All;All;733;21.01;153;66;622;17.06;00.06;68;605;14;6;8
2011;All;All;Transgender;All;All;51;99999;7;63;32;99999;99999;55;12;11.01;05.07;05.04
2011;All;All;Female;13 - 19;All;47;13.06;4;64;22;06.04;00.01;57;1;01.04;01.04;0
2011;All;All;Female;20 - 29;All;178;24.07.00;20;67;96;13.03;00.03;48;19;07.02;03.02;4
2011;All;All;Female;30 - 39;All;176;26.09.00;31;66;133;20.03;00.06;61;53;09.04;05.07;03.07
2011;All;All;Female;40 - 49;All;195;33;50;62;210;35.05.00;01.04;66;184;15.09;07.08;08.01
2011;All;All;Female;50 - 59;All;130;23.05;32;72;133;24;01.03;73;231;24.01.00;11.05;12.06
;All;All;Female;60+;All;57;06.07;23;68;60;07.01;00.03;81;129;33.05.00;10.06;22.09
2011;All;All;Female;All;Asian/Pacific Islander;11;02.02;2;91;8;01.06;00.01;77;7;13.01;02.06;10.06
2011;All;All;Female;All;Black;;54.03.00;108;63;421;46.09.00;01.06;66;354;14.03;05.09;08.03
2011;All;All;Female;All;Latino/Hispanic;232;23.01;42;75;191;19;00.08;69;200;13.01;06.02;7
2011;All;All;Female;All;Other/Unknown;2;03.04;0;50;1;01.07;00.02;70;2;12.02;02.03;09.09
2011;All;All;Female;All;White;50;4;8;54;33;02.06;00.01;77;54;13.08;05.06;08.02
2011;All;All;Male;13 - 19;All;140;39.04.00;7;52;33;09.03;00.01;51;1;01.04;01.04;0
2011;All;All;Male;20 - 29;All;957;142.01.00;104;62;370;54.09.00;00.07;54;47;06.04;03.06;02.08
2011;All;All;Male;30 - 39;All;649;105.04.00;122;67;405;65.07.00;01.04;67;90;07.01;03.07;03.04
2011;All;All;Male;40 - 49;All;517;93.09.00;138;74;506;91.09.00;03.02;72;354;12.08;06.07;06.01
2011;All;All;Male;50 - 59;All;253;52.02.00;82;69;305;62.09.00;03.03;76;505;21.02;08.06;12.06
2011;All;All;Male;60+;All;80;13.03;27;70;93;15.05;01.02;83;426;38.05.00;13.07;24.08.00
2011;All;All;Male;All;Asian/Pacific Islander;97;21.04;22;66;42;09.03;00.03;81;13;07.04;03.01;04.04
2011;All;All;Male;All;Black;1042;148.09.00;211;61;822;117.05.00;03.01;66;649;15.05;07.03;08.03
2011;All;All;Male;All;Latino/Hispanic;848;92;155;69;570;61.08.00;01.09;72;479;14;06.02;07.08
2011;All;All;Male;All;Other/Unknown;10;20.08;1;40;4;08.03;00.06;74;6;5;02.05;02.04
2011;All;All;Male;All;White;599;51.07.00;91;72;274;23.06;01.01;82;276;10.05;02.09;07.06
2011;Bronx;All;All;All;All;627;55.03.00;144;73;568;50.01.00;01.07;67;513;15;06.09;08.01
2011;Bronx;All;Female;13 - 19;All;18;24.05.00;2;83;10;13.06;00.02;53;0;0;0;0
2011;Bronx;All;Female;20 - 29;All;46;39.09.00;6;74;23;19.09;00.05;52;8;10.07;05.04;05.04
2011;Bronx;All;Female;30 - 39;All;53;51.07.00;3;75;39;38;01.03;60;20;10.07;06.08;03.09
2011;Bronx;All;Female;40 - 49;All;52;49.07.00;20;65;73;69.08.00;02.06;64;62;17.02;07.06;09.06
2011;Bronx;All;Female;50 - 59;All;30;32.09.00;10;80;42;46.01.00;02.05;72;56;19.09;11.04;08.05
2011;Bronx;All;Female;60+;All;14;10.08;5;71;16;12.04;00.07;82;32;27;08.01;18.09
2011;Bronx;All;Female;All;All;213;34.05.00;46;74;203;32.09.00;01.03;67;178;13.01;05.09;07.02
2011;Bronx;All;Female;All;Asian/Pacific Islander;0;0;0;99999;0;0;00.01;71;3;38.01.00;26.07.00;11.04
2011;Bronx;All;Female;All;Black;119;61.09.00;29;70;111;57.08.00;02.01;66;91;14;06.03;07.07
2011;Bronx;All;Female;All;Latino/Hispanic;87;26.07.00;16;82;84;25.08.00;01.01;67;77;11.05;05.04;06.02
2011;Bronx;All;Female;All;Other/Unknown;0;0;0;99999;1;14.04;00.03;73;1;56;0;56
2011;Bronx;All;Female;All;White;7;10.01;1;43;7;10.01;00.03;72;6;10.06;02.03;08.03
2011;Bronx;All;Male;13 - 19;All;23;30;1;61;8;10.04;00.02;52;0;0;0;0
2011;Bronx;All;Male;20 - 29;All;145;135.01.00;24;77;68;63.03.00;1;49;9;06.08;03.08;3
2011;Bronx;All;Male;30 - 39;All;103;120.04.00;29;74;79;92.03.00;01.08;60;20;09.09;05.05;04.05
2011;Bronx;All;Male;40 - 49;All;86;98.05.00;22;76;107;122.06.00;04.02;64;78;15.08;08.09;06.09
2011;Bronx;All;Male;50 - 59;All;41;55.02.00;16;56;74;99.05.00;04.09;71;137;28.01.00;11.04;16.07
2011;Bronx;All;Male;60+;All;16;18.08;6;75;29;34;01.09;80;91;43.08.00;19;24.08.00
2011;Bronx;All;Male;All;All;414;80.02.00;98;73;365;70.07.00;02.03;67;335;16;07.05;08.06
2011;Bronx;All;Male;All;Asian/Pacific Islander;5;23.06;2;80;2;09.04;00.03;70;3;19.07;0;19.07
2011;Bronx;All;Male;All;Black;174;115;40;70;156;103.01.00;03.04;65;145;15.09;07.08;08.01
2011;Bronx;All;Male;All;Latino/Hispanic;211;77;50;77;191;69.07.00;02.01;67;166;15.06;07.07;07.09
2011;Bronx;All;Male;All;Other/Unknown;2;36.01.00;0;50;0;0;00.08;68;2;13;0;13
2011;Bronx;All;Male;All;White;22;34.01.00;6;50;16;24.08.00;00.09;79;19;20;03.09;16.01
2011;Bronx;Crotona - Tremont;All;All;All;99;60.06.00;22;72;101;61.08.00;02.03;66;99;16;08.06;07.04
2011;Bronx;Crotona - Tremont;Female;13 - 19;All;1;08.01;0;100;1;08.01;00.02;33;0;0;0;0
2011;Bronx;Crotona - Tremont;Female;20 - 29;All;5;27.03.00;1;80;1;05.05;00.06;49;4;26.01.00;13.01;13.01
2011;Bronx;Crotona - Tremont;Female;30 - 39;All;12;78;1;75;11;71.05.00;01.08;60;6;16.05;11;05.05
2011;Bronx;Crotona - Tremont;Female;40 - 49;All;7;44.05.00;5;86;16;101.08.00;03.04;60;11;14.05;04.04;10.02
2011;Bronx;Crotona - Tremont;Female;50 - 59;All;5;38.05.00;1;40;8;61.06.00;03.05;73;12;21;12.03;08.08
2011;Bronx;Crotona - Tremont;Female;60+;All;1;7;0;100;3;20.09;01.02;80;8;29.09.00;25.06.00;04.03
2011;Bronx;Crotona - Tremont;Female;All;All;31;34.08.00;8;74;40;44.09.00;01.08;65;41;16.08;10.05;06.04
2011;Bronx;Crotona - Tremont;Female;All;Asian/Pacific Islander;0;0;0;99999;0;0;00.05;71;0;0;0;0
2011;Bronx;Crotona - Tremont;Female;All;Black;16;60.07.00;6;75;26;98.07.00;02.09;66;23;20.07;11.02;09.05
2011;Bronx;Crotona - Tremont;Female;All;Latino/Hispanic;13;22;2;77;14;23.07;01.03;65;17;12;10.02;01.08
